Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Civic Education,Geography,Economics,Government,Literature,admitted_department
REG2025_1001,Ada Eze,Computer Science,245,79,B2,B1,A1,B2,A1,A1,C4,B3,C5,C6,B2,Computer Science
REG2025_1002,Bola Adeleke,Microbiology,240,73,C5,B2,B2,B3,A1,C5,B3,C4,B2,C4,B3,Microbiology
REG2025_1003,Chike Obi,Biochemistry,230,71,B3,C4,C6,B2,B3,B2,C5,B3,C4,B2,B2,Biochemistry
REG2025_1004,Dayo Ibrahim,Physics,228,70,C6,B2,A1,C5,B2,A1,C4,B2,C5,C5,B3,Physics
REG2025_1005,Efe Johnson,Applied Physics,220,68,B3,B3,B2,A1,C5,B3,C6,B2,C4,B3,C4,Applied Physics
REG2025_1006,Femi Balogun,Industrial Chemistry,215,67,A1,C6,B3,C4,B3,C4,C5,B3,C5,C6,B2,Industrial Chemistry
REG2025_1007,Grace Okoro,Mathematics and Statistics,210,67,B2,B2,C4,B2,C6,C5,B3,C6,B2,C5,B3,Mathematics and Statistics
REG2025_1008,Hassan Musa,Animal and Environmental Biology,208,63,C4,B3,B2,C5,A1,B3,C6,B2,C4,B3,C5,Animal and Environmental Biology
REG2025_1009,Ireti Adebayo,Plant Science and Biotechnology,205,62,B3,C4,C5,B3,B2,C6,B2,C4,B3,C4,B2,Plant Science and Biotechnology
[... 980 more rows ...]
REG2025_1996,Ifeanyi Balogun,Applied Physics,224,68,C5,A1,A1,A1,C4,C4,B3,A1,C4,C5,B3,-
REG2025_1997,Aisha Adewale,Applied Physics,241,74,B3,C5,C4,B2,C6,A1,A1,C6,B2,C6,A1,-
REG2025_1998,Zainab Adeyemi,Plant Science and Biotechnology,207,61,C6,A1,A1,A1,C6,A1,C6,C4,C5,B3,A1,-
REG2025_1999,Ifeanyi Ojo,Physics,153,47,D7,C5,E8,D7,F9,B2,A1,A1,C4,B2,C6,-
REG2025_2000,Chika Okonkwo,Plant Science and Biotechnology,167,35,D7,B3,E8,D7,D7,C5,B2,B3,C6,B3,A1,-
