Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Civic Education,Geography,Economics,Government,Literature,admitted_department
REG2025_1000,Zainab Adeyemi,Animal and Environmental Biology,245,78,C6,A1,C5,B3,C5,A1,B2,B2,B3,C6,A1,Plant Science and Biotechnology
REG2025_1001,Ifeanyi Chukwu,Animal and Environmental Biology,191,39,D7,C4,E8,F9,F9,B2,B2,C4,C6,B3,C4,Animal and Environmental Biology
REG2025_1002,Zainab Okonkwo,Plant Science and Biotechnology,222,60,C6,C4,C4,A1,C5,C5,C6,A1,C5,C6,C5,Plant Science and Biotechnology
REG2025_1003,Aisha Abubakar,Computer Science,234,72,B2,C5,C5,C5,C6,C6,C4,C5,C4,B3,A1,Animal and Environmental Biology
REG2025_1004,Zainab Adeyemi,Biochemistry,242,77,B3,C4,C4,C6,B2,B3,C4,C4,B3,C4,A1,Biochemistry
REG2025_1005,Ifeanyi Adeyemi,Physics,230,73,C6,C5,C6,C6,C5,C4,C5,A1,C5,C4,A1,Physics
REG2025_1006,Tunde Adewale,Plant Science and Biotechnology,212,65,B2,C4,C6,C6,A1,C6,C5,B3,B3,C6,B3,Plant Science and Biotechnology
REG2025_1007,Uche Ibrahim,Applied Physics,132,55,E8,C5,D7,E8,D7,C4,C5,C4,B2,A1,C5,Mathematics and Statistics
REG2025_1008,Tunde Okoro,Animal and Environmental Biology,203,60,C4,C4,C6,A1,C4,C4,B2,B2,C5,B3,B3,Plant Science and Biotechnology
REG2025_1009,Ngozi Adeyemi,Applied Physics,224,73,B3,C4,B3,B3,C5,C4,A1,B3,C5,C6,C4,Applied Physics
REG2025_1010,Ifeanyi Balogun,Computer Science,187,35,F9,A1,F9,F9,D7,C4,A1,C5,C6,C6,A1,Computer Science
REG2025_1011,Zainab Ibrahim,Applied Physics,152,36,F9,C4,E8,F9,F9,C4,C5,B3,B2,B2,C5,Applied Physics
REG2025_1012,Chika Okoro,Animal and Environmental Biology,190,38,D7,B2,D7,E8,E8,B3,B3,A1,C4,B2,C5,Plant Science and Biotechnology
REG2025_1013,Ifeanyi Chukwu,Physics,132,40,D7,C5,E8,F9,E8,C6,C4,C4,B2,C6,B2,Physics
REG2025_1014,Aisha Okonkwo,Microbiology,194,44,F9,A1,F9,E8,F9,C5,A1,B3,B3,A1,C4,Microbiology
REG2025_1015,Tunde Balogun,Physics,241,71,B2,A1,C5,B2,C5,B2,B2,C5,C4,C4,B3,Physics
REG2025_1016,Zainab Balogun,Microbiology,254,74,B3,C4,B3,C6,C4,A1,C6,C6,A1,B3,B2,Physics
REG2025_1017,Ngozi Ibrahim,Computer Science,254,84,C4,C5,C5,C6,A1,B2,B3,C4,C4,C4,C4,Microbiology
REG2025_1018,Uche Abubakar,Plant Science and Biotechnology,189,52,F9,C6,E8,D7,F9,A1,B3,C4,C5,C5,B2,Plant Science and Biotechnology
REG2025_1019,Zainab Balogun,Plant Science and Biotechnology,120,40,F9,B3,D7,F9,E8,B3,B3,C5,B2,C5,B2,Plant Science and Biotechnology
REG2025_1020,Ifeanyi Muhammed,Animal and Environmental Biology,221,64,C5,C4,C5,C6,C4,B3,A1,C4,C5,C6,C4,Plant Science and Biotechnology
REG2025_1021,Aisha Okonkwo,Biochemistry,129,40,E8,B3,F9,F9,E8,A1,C4,A1,B3,A1,C5,Biochemistry
REG2025_1022,Tunde Chukwu,Industrial Chemistry,178,42,E8,B3,D7,D7,E8,A1,C4,C5,C6,B2,C6,Industrial Chemistry
REG2025_1023,Blessing Adeyemi,Computer Science,245,78,C6,A1,C4,C6,C6,C4,B3,C5,C6,A1,B3,Computer Science
REG2025_1024,Funmi Ibrahim,Industrial Chemistry,198,58,D7,C4,D7,F9,F9,B3,C5,C4,C5,B3,B3,Animal and Environmental Biology
REG2025_1025,Chika Muhammed,Plant Science and Biotechnology,252,76,C5,A1,C6,C6,C6,C6,C6,C4,C5,B3,B2,Plant Science and Biotechnology
