Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Geography,Economics,Literature,admitted_department
REG2025_0001,Luke Smith-Jones,Computer Science,242,84,B3,B3,A1,A1,A1,A1,C5,C5,C5,Computer Science
REG2025_0002,Vanessa Harrison,Mathematics and Statistics,227,68,A1,A1,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0003,Kevin French-Chan,Industrial Chemistry,219,67,C6,C6,A1,A1,A1,A1,C5,C5,C5,Industrial Chemistry
REG2025_0004,Douglas Lawrence,Computer Science,254,80,C6,C6,C6,C6,C6,C6,C5,C5,C5,Computer Science
REG2025_0005,Gary Davis,Industrial Chemistry,210,73,C6,C6,B2,B2,B2,B2,C5,C5,C5,Industrial Chemistry
REG2025_0006,Dr Bruce Bray,Computer Science,251,85,C6,C6,C4,C4,C4,C4,C4,C4,C4,Computer Science
REG2025_0007,Joel Lees,Industrial Chemistry,212,69,B2,B2,B3,B3,B3,B3,B3,B3,B3,Industrial Chemistry
REG2025_0008,Ms Kimberley Allen,Mathematics and Statistics,213,73,C4,C4,B2,B2,B2,B2,C6,C6,C6,Mathematics and Statistics
REG2025_0009,Miss Abbie Ball,Applied Physics,225,73,B3,B3,A1,A1,A1,A1,C6,C6,C6,Applied Physics
REG2025_0010,Terence Harding,Applied Physics,216,72,C5,C5,A1,A1,A1,A1,B2,B2,B2,Applied Physics
REG2025_0011,Jake Sutton,Mathematics and Statistics,211,79,B2,B2,A1,A1,A1,A1,B2,B2,B2,Mathematics and Statistics
REG2025_0012,Michelle Harrison,Physics,221,73,C6,C6,B2,B2,B2,B2,C5,C5,C5,Physics
REG2025_0013,Alison King,Physics,244,81,A1,A1,B2,B2,B2,B2,C5,C5,C5,Physics
REG2025_0014,Denis Lord,Plant Science and Biotechnology,225,62,C5,C5,C5,C5,C5,C5,B3,B3,B3,Plant Science and Biotechnology
REG2025_0015,Cheryl Dobson,Computer Science,244,81,B3,B3,C6,C6,C6,C6,B2,B2,B2,Computer Science
REG2025_0016,Mr Billy Burton,Mathematics and Statistics,209,64,A1,A1,C4,C4,C4,C4,C6,C6,C6,Mathematics and Statistics
REG2025_0017,Patricia Singh-Williams,Computer Science,252,88,B3,B3,A1,A1,A1,A1,A1,A1,A1,Computer Science
REG2025_0018,Sam Phillips,Biochemistry,246,73,C4,C4,C6,C6,C6,C6,C4,C4,C4,Biochemistry
REG2025_0019,Frank White-Barber,Computer Science,251,77,C5,C5,A1,A1,A1,A1,B3,B3,B3,Computer Science
REG2025_0020,Janice Dale,Industrial Chemistry,215,76,A1,A1,A1,A1,A1,A1,A1,A1,A1,Industrial Chemistry
REG2025_0021,Mrs Dawn Evans,Computer Science,268,86,C5,C5,A1,A1,A1,A1,C5,C5,C5,Computer Science
REG2025_0022,Ashleigh Dale-Burke,Industrial Chemistry,210,70,C4,C4,C6,C6,C6,C6,B2,B2,B2,Industrial Chemistry
